iter	Passed	Remaining
473	651	722
474	652	720
475	653	719
476	654	717
477	654	715
478	655	712
479	655	710
480	656	708
481	659	708
482	660	706
483	661	705
484	662	703
485	663	701
486	663	699
487	664	697
488	665	695
489	667	694
490	669	693
491	670	692
492	671	690
493	671	688
494	672	685
495	672	683
496	673	682
497	675	681
498	676	679
499	677	677
500	678	675
501	679	673
502	679	671
503	680	669
504	680	667
505	681	665
506	682	663
507	685	663
508	686	661
509	687	660
510	687	658
511	688	656
512	689	654
513	689	652
514	690	650
515	691	648
516	692	647
517	693	645
518	695	644
519	695	642
520	696	640
521	696	637
522	697	635
523	697	633
524	698	632
525	700	631
526	701	629
527	702	628
528	703	626
529	704	624
530	705	622
531	705	620
532	706	618
533	707	617
534	709	616
535	709	614
536	710	612
537	711	611
538	712	609
539	712	607
540	713	605
541	713	603
542	714	601
543	715	599
544	719	600
545	720	598
546	720	597
547	721	595
548	722	593
549	722	591
550	723	589
551	723	587
552	726	587
553	727	585
554	728	584
555	729	582
556	729	580
557	730	578
558	731	576
559	731	574
560	732	573
561	733	571
562	734	570
563	736	569
564	737	567
565	737	565
566	738	563
567	738	562
568	739	560
569	740	558
570	741	556
571	743	556
572	744	554
573	746	553
574	746	552
575	747	550
576	748	548
577	748	546
578	751	546
579	752	544
580	753	543
581	754	541
582	755	540
583	755	538
584	756	536
585	758	535
586	759	534
587	761	533
588	762	531
589	762	530
590	763	528
591	765	527
592	767	526
593	768	525
594	769	523
595	770	522
596	771	520
597	772	519
598	775	518
599	776	517
600	777	515
601	777	514
602	778	512
603	779	511
604	782	511
605	786	511
606	786	509
607	787	507
608	788	506
609	791	505
610	792	504
611	793	503
612	794	501
613	795	499
614	795	498
615	797	497
616	799	496
617	800	494
618	801	493
619	802	491
620	803	490
621	803	488
622	804	486
623	807	486
624	808	485
625	809	483
626	810	482
627	810	480
628	811	478
629	812	477
630	814	476
631	816	475
632	817	473
633	818	472
634	818	470
635	819	469
636	820	467
637	822	466
638	823	465
639	824	463
640	825	462
641	826	460
642	827	459
643	827	457
644	828	455
645	829	454
646	831	453
647	832	452
648	833	450
649	834	449
650	834	447
651	837	446
652	838	445
653	840	444
654	841	443
655	841	441
656	842	439
657	843	438
658	845	437
659	847	436
660	847	434
661	849	433
662	849	431
663	850	430
664	850	428
665	851	427
666	853	425
667	854	424
668	856	423
669	856	422
670	857	420
671	858	418
672	858	417
673	859	415
674	860	414
675	861	412
676	863	411
677	864	410
678	865	409
679	866	407
680	867	406
681	870	405
682	871	404
683	872	403
684	873	401
685	873	399
686	874	398
687	875	396
688	877	396
689	880	395
690	881	394
691	882	392
692	882	391
693	883	389
694	885	388
695	888	387
696	889	386
697	890	385
698	890	383
699	891	382
700	892	380
701	893	379
702	894	378
703	895	376
704	897	375
705	897	373
706	898	372
707	899	370
708	899	369
709	900	367
710	902	366
711	904	365
712	904	364
713	905	362
714	906	361
715	906	359
716	907	358
717	907	356
718	908	355
719	910	354
720	912	352
721	912	351
722	913	349
723	913	348
724	914	346
725	916	345
726	919	345
727	920	343
728	921	342
729	921	340
730	922	339
731	926	339
732	927	337
733	928	336
734	929	335
735	929	333
736	931	332
737	932	331
738	934	330
739	935	328
740	935	327
741	936	325
742	936	324
743	937	322
744	938	321
745	939	319
746	942	319
747	943	317
748	944	316
749	944	314
750	945	313
751	946	312
752	947	310
753	948	309
754	949	308
755	950	306
756	951	305
757	952	304
758	953	302
759	953	301
760	954	299
761	954	298
762	955	296
763	957	295
764	959	294
765	960	293
766	961	292
767	962	290
768	962	289
769	963	287
770	963	286
771	965	285
772	967	284
773	967	282
774	969	281
775	970	280
776	970	278
777	971	277
778	971	275
779	972	274
780	973	272
781	975	271
782	975	270
783	978	269
784	978	268
785	979	266
786	980	265
787	980	263
788	981	262
789	982	261
790	983	259
791	985	258
792	986	257
793	986	255
794	987	254
795	987	253
796	988	251
797	989	250
798	989	249
799	991	247
800	992	246
801	993	245
802	994	243
803	995	242
804	995	241
805	996	239
806	996	238
807	997	237
808	998	235
809	1016	238
810	1016	236
811	1017	235
812	1017	234
813	1018	232
814	1019	231
815	1020	230
816	1021	228
817	1022	227
818	1023	226
819	1024	224
820	1024	223
821	1025	222
822	1026	220
823	1026	219
824	1027	217
825	1029	216
826	1030	215
827	1032	214
828	1032	213
829	1033	211
830	1034	210
831	1034	208
832	1035	207
833	1036	206
834	1038	205
835	1039	203
836	1039	202
837	1041	201
838	1042	200
839	1043	198
840	1043	197
841	1044	195
842	1045	194
843	1047	193
844	1048	192
845	1049	191
846	1050	189
847	1051	188
848	1051	187
849	1052	185
850	1052	184
851	1054	183
852	1055	181
853	1056	180
854	1057	179
855	1058	178
856	1058	176
857	1059	175
858	1060	174
859	1060	172
860	1061	171
861	1062	170
862	1063	168
863	1065	167
864	1066	166
865	1067	165
866	1068	163
867	1068	162
868	1069	161
869	1071	160
870	1074	159
871	1074	157
872	1075	156
873	1076	155
874	1076	153
875	1077	152
876	1078	151
877	1080	150
878	1082	148
879	1083	147
880	1083	146
881	1084	145
882	1085	143
883	1085	142
884	1086	141
885	1088	140
886	1089	138
887	1091	137
888	1091	136
889	1092	135
890	1093	133
891	1093	132
892	1094	131
893	1095	129
894	1097	128
895	1098	127
896	1100	126
897	1100	125
898	1101	123
899	1102	122
900	1102	121
901	1103	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1108	113
907	1109	112
908	1109	111
909	1110	109
910	1111	108
911	1111	107
912	1112	106
913	1114	104
914	1115	103
915	1116	102
916	1117	101
917	1118	99
918	1118	98
919	1119	97
920	1119	96
921	1125	95
922	1127	94
923	1127	92
924	1128	91
925	1129	90
926	1130	89
927	1132	87
928	1135	86
929	1136	85
930	1137	84
931	1137	83
932	1138	81
933	1139	80
934	1141	79
935	1142	78
936	1144	76
937	1144	75
938	1145	74
939	1145	73
940	1146	71
941	1147	70
942	1149	69
943	1150	68
944	1151	67
945	1152	65
946	1153	64
947	1153	63
948	1154	62
949	1154	60
950	1155	59
951	1157	58
952	1158	57
953	1160	55
954	1160	54
955	1161	53
956	1162	52
957	1162	50
958	1163	49
959	1163	48
960	1164	47
961	1166	46
962	1167	44
963	1168	43
964	1169	42
965	1170	41
966	1170	39
967	1171	38
968	1172	37
969	1173	36
970	1174	35
971	1175	33
972	1176	32
973	1177	31
974	1178	30
975	1179	28
976	1179	27
977	1180	26
978	1180	25
979	1181	24
980	1183	22
981	1184	21
982	1186	20
983	1186	19
984	1187	18
985	1187	16
986	1188	15
987	1189	14
988	1190	13
989	1191	12
990	1192	10
991	1193	9
992	1194	8
993	1195	7
994	1195	6
995	1196	4
996	1196	3
997	1198	2
998	1200	1
999	1201	0
